scheme,sec,clr,rec,red,usrcount,sigcount,s-on,s-tot,v-on,v-tot,
ECAO-paper-version,160,0,80,80,10,100,2176,354217,442193,442337,
ECAO-paper-version,160,0,80,80,10,100,2277,352579,440818,440941,
ECAO-paper-version,160,0,80,80,10,100,2175,352810,440581,440738,
ECAO-paper-version,160,0,80,80,10,100,2169,351812,440227,440393,
ECAO-paper-version,160,0,80,80,10,100,2139,352803,441359,441520,
ECAO-paper-version,160,0,80,80,10,100,2405,359351,448005,448154,
ECAO-paper-version,160,0,80,80,10,100,2207,354423,442045,442187,
ECAO-paper-version,160,0,80,80,10,100,2202,352027,439921,440070,
ECAO-paper-version,160,0,80,80,10,100,2181,351643,439312,439451,
ECAO-paper-version,160,0,80,80,10,100,2379,356880,444973,445116,
ECAO-paper-version,192,0,96,96,10,100,2340,455015,538823,538964,
ECAO-paper-version,192,0,96,96,10,100,2351,455797,541491,541626,
ECAO-paper-version,192,0,96,96,10,100,2341,454040,539130,539286,
ECAO-paper-version,192,0,96,96,10,100,2266,450915,535396,535524,
ECAO-paper-version,192,0,96,96,10,100,2341,454137,539705,539854,
ECAO-paper-version,192,0,96,96,10,100,2362,453798,539452,539595,
ECAO-paper-version,192,0,96,96,10,100,2310,455139,540129,540285,
ECAO-paper-version,192,0,96,96,10,100,2368,455790,540883,541040,
ECAO-paper-version,192,0,96,96,10,100,2500,456217,541604,541739,
ECAO-paper-version,192,0,96,96,10,100,2266,450050,535574,535722,
ECAO-paper-version,224,0,112,112,10,100,2411,619301,761588,761733,
ECAO-paper-version,224,0,112,112,10,100,2374,617639,759361,759509,
ECAO-paper-version,224,0,112,112,10,100,2398,613960,755612,755754,
ECAO-paper-version,224,0,112,112,10,100,2444,614582,755273,755403,
ECAO-paper-version,224,0,112,112,10,100,2325,612117,753589,753745,
ECAO-paper-version,224,0,112,112,10,100,2380,614426,756102,756230,
ECAO-paper-version,224,0,112,112,10,100,2409,614732,756686,756818,
ECAO-paper-version,224,0,112,112,10,100,2322,616099,757057,757228,
ECAO-paper-version,224,0,112,112,10,100,2585,621811,766488,766631,
